Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2019","2019","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.07","Abaca, manila hemp, raw","2019","2019","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.07","Abaca, manila hemp, raw","2019","2019","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2020","2020","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.07","Abaca, manila hemp, raw","2020","2020","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.07","Abaca, manila hemp, raw","2020","2020","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2021","2021","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.07","Abaca, manila hemp, raw","2021","2021","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2022","2022","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.07","Abaca, manila hemp, raw","2022","2022","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.07","Abaca, manila hemp, raw","2022","2022","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.07","Abaca, manila hemp, raw","2023","2023","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.07","Abaca, manila hemp, raw","2023","2023","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.07","Abaca, manila hemp, raw","2023","2023","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2019","2019","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2019","2019","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2019","2019","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2020","2020","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2020","2020","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2020","2020","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01929.06","Agave fibres, raw, n.e.c.","2022","2022","","","","",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2022","2022","","","","",""
